epoch,accuracy,loss,val_accuracy,val_loss
0,0.576987087726593,0.6679065823554993,0.6905293464660645,0.5827730894088745
1,0.6966135501861572,0.5819336175918579,0.7080675959587097,0.5544900894165039
2,0.7248430252075195,0.5434583425521851,0.7503188848495483,0.490864098072052
3,0.7572049498558044,0.5021832585334778,0.7692921161651611,0.48296037316322327
4,0.7776525616645813,0.47180914878845215,0.8038902878761292,0.4217269718647003
5,0.8003541827201843,0.4330184757709503,0.8155293464660645,0.4111129939556122
6,0.8213921785354614,0.4013877809047699,0.8445472121238708,0.3557789921760559
7,0.8374389410018921,0.3736617863178253,0.8539540767669678,0.33996886014938354
8,0.8462942242622375,0.35126104950904846,0.8539540767669678,0.33587226271629333
9,0.8580475449562073,0.3347187936306,0.8596938848495483,0.3339618444442749
10,0.8681371808052063,0.31064972281455994,0.8757972121238708,0.28355276584625244
11,0.8767777681350708,0.2920289933681488,0.8869578838348389,0.2615138590335846
12,0.8832179307937622,0.27806222438812256,0.8775510191917419,0.2785339653491974
13,0.8941125869750977,0.2575339376926422,0.8997130393981934,0.24632775783538818
14,0.8950785994529724,0.24880018830299377,0.8973214030265808,0.24527320265769958
15,0.9037191867828369,0.23791228234767914,0.9081632494926453,0.22245840728282928
16,0.9090860486030579,0.22478123009204865,0.8887117505073547,0.2677830159664154
17,0.9135941863059998,0.21396461129188538,0.9162946343421936,0.1971016526222229
18,0.9205173850059509,0.2052139788866043,0.9188456535339355,0.19615188241004944
19,0.9223957657814026,0.19484472274780273,0.9089604616165161,0.21731632947921753
